2009/06/09 11:43:59 -0700 555 | 1244573039 | 59893 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 695 fileConnector::fetchRecordData@174 - Failed read file /z/dr/brainsandlooks2003/us1/yahoo_site_admin/.interview.draft for resource profile: fileConnector
2009/06/09 11:47:18 -0700 641 | 1244573238 | 89072 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 695 fileConnector::fetchRecordData@174 - Failed read file /z/dr/brainsandlooks2003/us1/yahoo_site_admin/.interview.draft for resource profile: fileConnector
2009/06/09 11:50:32 -0700 657 | 1244573432 | 54241 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 695 fileConnector::fetchRecordData@174 - Failed read file /z/dr/brainsandlooks2003/us1/yahoo_site_admin/.interview.draft for resource profile: fileConnector
2009/06/09 11:50:35 -0700 178 | 1244573435 | 55011 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1137 getMap: for brainsandlooks2003. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2009/06/09 12:13:54 -0700 797 | 1244574834 | 98623 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 12:13:54 -0700 808 | 1244574834 | 98623 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 12:13:54 -0700 809 | 1244574834 | 98623 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 12:35:16 -0700 571 | 1244576116 | 43075 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 12:35:16 -0700 573 | 1244576116 | 43075 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 12:35:16 -0700 577 | 1244576116 | 43075 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 12:38:05 -0700 589 | 1244576285 | 68940 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 12:38:05 -0700 590 | 1244576285 | 68940 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 12:38:05 -0700 592 | 1244576285 | 68940 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 12:57:36 -0700 274 | 1244577456 | 74541 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 12:57:36 -0700 282 | 1244577456 | 74541 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 12:57:36 -0700 284 | 1244577456 | 74541 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 13:07:06 -0700 784 | 1244578026 | 305 | GenApps | CRIT |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/AsteroidsV1SchemaAdapter.class.inc Function: () line: 1404 Null or invalid query field
2009/06/09 13:07:06 -0700 791 | 1244578026 | 305 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/dbConnector.class.inc Function: () line: 1164 dbConnector::executeFetchQuery@375 - prepare query error: dbConnector
2009/06/09 13:07:06 -0700 804 | 1244578026 | 305 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 445 Controller :evaluateView: command 'fetch' returned error: Type=dbConnectorError, command name=fetch, connector name=dbConnector, app id=31, rcode=13
2009/06/09 13:12:48 -0700 787 | 1244578368 | 78899 | GenApps | WARN |  | File: /home/y/share/htdocs/si30d/GenApps/index.php Function: () line: 341 Admin request but invalid credentials: 2
2009/06/09 13:17:53 -0700 976 | 1244578673 | 19540 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1137 getMap: for brainsandlooks2003. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2009/06/09 13:17:54 -0700 026 | 1244578674 | 19540 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1137 getMap: for brainsandlooks2003. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
